,error_rate,cultivation_distance,shots,errors,discards,gap,attempts_per_kept_shot,low_10,best_estimate,high_10,low_100,high_100,low_1000,high_1000,keep_rate,expected_volume,t_gate_cultivation_error_rate
4217,0.000649,3,5000000000,50995,1822289170,37,1.573459721586146,1.589745974463007e-05,1.6047715707347734e-05,1.6199516807512657e-05,1.5833797564267358e-05,1.6263125490244813e-05,1.5785781867382817e-05,1.6312374779551606e-05,0.635542166,7458.285849082925,3.209543141469547e-05
4218,0.000649,3,5000000000,47854,1827213931,38,1.5759020271493116,1.4935683960228584e-05,1.508264312793161e-05,1.5230607721128391e-05,1.487447907727182e-05,1.5292698261024795e-05,1.4827346999423551e-05,1.5340429181643636e-05,0.6345572138,7468.453125283362,3.016528625586322e-05
4219,0.000649,3,5000000000,45486,1832242345,39,1.5784035719876408,1.4216573647582268e-05,1.4359052981279909e-05,1.4502476200314003e-05,1.4156707956878096e-05,1.4563263678704613e-05,1.4110915312427838e-05,1.4610063344634236e-05,0.633551531,7478.8670135710145,2.8718105962559817e-05
4220,0.000649,3,5000000000,43542,1842579085,40,1.5835709373049676,1.3649136798728022e-05,1.3790369156403717e-05,1.3932323622427137e-05,1.3590769541095537e-05,1.3992024246789409e-05,1.3545818296449716e-05,1.4037681764073576e-05,0.631484183,7500.3786668229395,2.7580738312807433e-05
4221,0.000649,3,5000000000,41066,1852317826,41,1.5884704113786614,1.2909244883629093e-05,1.304642518841548e-05,1.3184387020644608e-05,1.2852152080078463e-05,1.3242718831116651e-05,1.2808548567267134e-05,1.328739614992654e-05,0.6295364348,7520.775093419125,2.609285037683096e-05
4222,0.000649,3,5000000000,38734,1861037575,42,1.5928830361243442,1.220606519366029e-05,1.2339746309642429e-05,1.2474806862334453e-05,1.2150311101605496e-05,1.2531201293370052e-05,1.2107969084720723e-05,1.2574597798825195e-05,0.6277924850000001,7539.144774607029,2.4679492619284857e-05
4223,0.000649,3,5000000000,29886,1891095583,43,1.6082836032020191,9.494637351534889e-06,9.613032757320696e-06,9.732139024459431e-06,9.445517153704118e-06,9.782626263353532e-06,9.407793253490689e-06,9.821073891188723e-06,0.6217808834,7603.257071400196,1.9226065514641392e-05
4224,0.000649,3,5000000000,28062,1906165384,44,1.6161174136167094,8.955035882241224e-06,9.070297376231829e-06,9.186735403700069e-06,8.906810938597373e-06,9.235558310787224e-06,8.870335168555758e-06,9.273084557148158e-06,0.6187669231999999,7635.869089892738,1.8140594752463657e-05
4225,0.000649,3,5000000000,19484,1954001010,45,1.6414975888475278,6.298797229739069e-06,6.396587807141722e-06,6.49529762319455e-06,6.25854114285179e-06,6.536633815495783e-06,6.227740082080592e-06,6.568521547671294e-06,0.609199798,7741.526324388756,1.2793175614283445e-05
4226,0.000649,3,5000000000,18727,1963302887,46,1.646525752042281,6.070878758727229e-06,6.166897554527362e-06,6.263963540706273e-06,6.03134896845407e-06,6.304481246431112e-06,6.000901414233339e-06,6.3359068369490034e-06,0.6073394226,7762.458481591266,1.2333795109054725e-05
